evaluations raw_y
evaluations raw_y
1 0.8305647841
2 1.3935340022
3 1.4060742407
18 1.4863258026
19 1.7531556802
83 2.1367521368
10731 1.3935340022
evaluations raw_y
1 0.7654623393
2 1.2007684918
15 1.6600265604
33 1.9747235387
458 2.5987525988
2743 2.9411764706
4259 3.3156498674
5041 1.5151515152
evaluations raw_y
1 1.1312217195
2 1.3227513228
3 2.0798668885
392 2.6427061311
2592 2.8344671202
2601 2.9976019185
2957 3.0562347188
3045 4.2087542088
5041 1.7934002869
evaluations raw_y
1 0.7926442613
2 0.9881422925
3 1.8796992481
25 2.0525451560
2489 2.0798668885
2643 2.2603978300
2707 3.1806615776
5041 0.8626639061
evaluations raw_y
1 1.0692899914
2 1.7531556802
13 1.9260400616
35 2.0000000000
299 2.2281639929
1244 2.2935779817
1249 2.6427061311
2830 2.6881720430
2906 2.7839643653
2951 2.9411764706
3074 3.0562347188
3710 3.2467532468
5041 1.4863258026
evaluations raw_y
1 0.8261731659
2 1.6778523490
27 1.7531556802
109 1.7730496454
141 2.0000000000
510 2.2281639929
2577 2.2935779817
2617 2.4366471735
2623 2.5562372188
2736 2.8344671202
3727 2.8868360277
4434 3.1172069825
5041 1.4060742407
evaluations raw_y
1 1.5923566879
25 1.9500780031
72 2.0525451560
78 2.1079258010
101 2.1663778163
132 2.2603978300
178 2.4366471735
255 2.7839643653
267 2.8344671202
352 2.8868360277
381 2.9976019185
660 3.0562347188
767 3.1806615776
1865 3.7091988131
5005 2.5987525988
evaluations raw_y
1 1.0692899914
4 1.1563367253
6 1.6778523490
102 1.7146776406
111 1.9025875190
146 2.4366471735
206 2.9976019185
261 3.0562347188
271 3.2467532468
788 3.3156498674
792 3.4626038781
1552 3.5410764873
1851 3.6231884058
5005 2.4366471735
evaluations raw_y
1 0.9944311854
2 1.2100677638
3 1.2291052114
5 1.6778523490
11 1.9025875190
170 1.9747235387
171 2.1663778163
179 2.5150905433
256 2.9411764706
270 2.9976019185
455 3.1806615776
767 3.2467532468
1137 3.3875338753
5005 1.9747235387
evaluations raw_y
1 0.6246876562
2 1.1916110582
5 1.5605493134
11 2.0798668885
173 2.3992322457
288 2.5562372188
327 2.6427061311
342 2.6881720430
362 2.8868360277
408 2.9976019185
464 3.2467532468
615 3.4626038781
661 3.5410764873
5005 2.1079258010
evaluations raw_y
1 0.8394895903
2 1.2690355330
5 1.6425755585
12 3.3156498674
5005 2.8344671202
evaluations raw_y
1 0.9130752374
2 1.4318442153
3 1.5151515152
22 1.5299877601
31 1.5605493134
33 1.9747235387
94 2.1663778163
103 2.2935779817
191 2.5987525988
232 2.6881720430
248 2.9411764706
393 3.1172069825
646 3.3156498674
809 3.6231884058
1160 3.7091988131
3218 4.0983606557
3496 4.2087542088
3935 4.5787545788
5005 1.4723203769
evaluations raw_y
1 1.0477787091
3 1.1737089202
5 1.7337031900
50 1.7934002869
97 2.0798668885
99 2.2603978300
246 2.5150905433
312 2.7352297593
333 3.3156498674
489 3.5410764873
626 3.9936102236
5005 1.1312217195
evaluations raw_y
1 0.7471607890
2 1.0993843448
3 1.4188422247
6 1.7934002869
20 2.0000000000
92 2.1663778163
94 2.2935779817
110 2.7352297593
186 3.3875338753
546 3.5410764873
1803 3.6231884058
5005 2.7839643653
evaluations raw_y
1 0.7846829881
2 1.3572204126
6 1.5006002401
15 1.9500780031
127 1.9747235387
131 2.0000000000
157 2.1367521368
209 2.4366471735
314 2.5150905433
400 2.5562372188
454 2.8868360277
501 3.7091988131
1284 3.7993920973
1719 4.7169811321
5005 1.3935340022
evaluations raw_y
1 1.2195121951
3 1.3691128149
7 1.5299877601
8 2.3629489603
90 2.4366471735
145 2.5987525988
176 2.7352297593
198 2.9411764706
464 3.2467532468
503 3.3156498674
521 4.5787545788
5005 1.4723203769
evaluations raw_y
1 1.1649580615
4 1.2195121951
9 1.2487512488
15 1.3935340022
24 1.7146776406
70 1.7730496454
79 2.0000000000
96 2.0525451560
125 2.1663778163
208 2.2281639929
212 2.2935779817
222 2.4752475248
262 2.5562372188
508 2.7839643653
710 3.3156498674
1657 3.5410764873
2506 3.6231884058
4751 3.7993920973
5005 1.6778523490
evaluations raw_y
1 0.8305647841
2 1.3116474292
3 1.8355359765
82 2.3277467412
93 2.4752475248
173 2.7839643653
306 2.8344671202
822 3.1806615776
1266 3.2467532468
2424 3.3156498674
3767 3.5410764873
4402 3.7091988131
4797 3.7993920973
5001 3.9936102236
5005 2.8868360277
evaluations raw_y
1 1.8573551263
23 2.0000000000
53 2.0259319287
85 2.1367521368
246 2.5562372188
286 2.7352297593
333 3.3875338753
406 3.4626038781
683 3.7091988131
2924 4.2087542088
5005 1.9747235387
evaluations raw_y
1 1.1394712853
2 1.3227513228
11 1.4863258026
18 1.7146776406
27 1.7934002869
80 1.8573551263
123 2.0259319287
153 2.0525451560
218 2.7352297593
353 2.8868360277
628 2.9976019185
638 3.0562347188
939 3.3156498674
1439 3.7993920973
5005 1.6425755585
evaluations raw_y
1 0.7617306520
2 0.8973438622
3 0.9025270758
4 1.1825922422
5 1.7531556802
92 1.8142235123
104 2.1079258010
141 2.2935779817
192 2.5987525988
330 2.7352297593
370 2.9411764706
628 3.0562347188
887 3.9936102236
1833 4.0983606557
5005 2.8868360277
evaluations raw_y
1 0.6731287022
2 1.7337031900
106 2.0000000000
145 2.5150905433
162 2.5987525988
244 2.9411764706
2842 2.9976019185
4393 3.1806615776
5005 1.7146776406
evaluations raw_y
1 0.9697439876
2 1.4450867052
8 1.5923566879
31 1.6960651289
65 1.7531556802
77 1.7730496454
103 1.9747235387
136 2.0000000000
162 2.3629489603
353 2.5987525988
650 2.8868360277
974 3.1806615776
1637 3.2467532468
3099 3.5410764873
5005 1.3691128149
evaluations raw_y
1 0.5538325210
2 0.8350033400
3 1.7934002869
139 1.8573551263
182 1.8796992481
189 2.0798668885
216 2.1367521368
226 2.1663778163
284 2.2281639929
378 2.2603978300
393 2.4752475248
559 2.9411764706
624 3.1806615776
640 3.6231884058
2109 4.2087542088
5005 1.4863258026
evaluations raw_y
1 1.1071744907
4 1.2291052114
9 1.6600265604
22 1.9260400616
65 2.0259319287
126 2.4366471735
218 2.6427061311
292 2.8868360277
473 3.1172069825
3801 3.5410764873
5005 1.3007284079
evaluations raw_y
1 1.2007684918
3 1.6425755585
25 1.7337031900
28 1.9747235387
140 2.0525451560
187 2.2935779817
234 2.5150905433
573 2.5987525988
650 2.6427061311
670 2.6881720430
696 2.8344671202
763 2.9976019185
4598 3.3875338753
4891 3.5410764873
5005 1.2794268168
evaluations raw_y
1 1.4060742407
10 1.4863258026
11 1.7531556802
27 1.8796992481
78 2.0000000000
98 2.0259319287
112 2.0525451560
113 2.1367521368
139 2.2281639929
145 2.5987525988
182 2.6881720430
250 3.4626038781
5005 2.5987525988
evaluations raw_y
1 1.1649580615
2 1.2794268168
5 1.6960651289
25 2.3629489603
169 2.5562372188
179 2.7839643653
189 3.3156498674
3288 3.3875338753
3331 3.4626038781
3450 3.7993920973
3603 3.8940809969
5005 2.8344671202
evaluations raw_y
1 1.8355359765
14 2.1079258010
15 2.1968365554
17 2.2935779817
71 2.3277467412
92 3.0562347188
201 3.1172069825
256 3.1806615776
441 3.2467532468
2500 3.3156498674
3894 3.7993920973
5005 1.4450867052
evaluations raw_y
1 0.8973438622
2 1.0271158587
3 1.1478420569
6 1.1737089202
10 1.4060742407
94 1.7146776406
106 1.8142235123
124 1.9747235387
175 2.0000000000
183 2.1079258010
193 2.1968365554
238 2.2603978300
254 2.4752475248
261 2.5562372188
267 2.5987525988
293 2.9411764706
381 3.1806615776
548 3.2467532468
576 3.5410764873
2804 3.6231884058
2869 3.7993920973
5005 1.5762925599
evaluations raw_y
1 1.2690355330
14 1.3812154696
22 1.4450867052
28 1.4863258026
36 1.6600265604
67 1.9025875190
